precision,recall
0.2878787878787879,1.0
0.2923076923076923,1.0
0.296875,1.0
0.30158730158730157,1.0
0.3064516129032258,1.0
0.3114754098360656,1.0
0.31666666666666665,1.0
0.3050847457627119,0.9473684210526315
0.3103448275862069,0.9473684210526315
0.3157894736842105,0.9473684210526315
0.32142857142857145,0.9473684210526315
0.32727272727272727,0.9473684210526315
0.3333333333333333,0.9473684210526315
0.33962264150943394,0.9473684210526315
0.3269230769230769,0.8947368421052632
0.3333333333333333,0.8947368421052632
0.34,0.8947368421052632
0.3469387755102041,0.8947368421052632
0.3333333333333333,0.8421052631578947
0.3404255319148936,0.8421052631578947
0.34782608695652173,0.8421052631578947
0.35555555555555557,0.8421052631578947
0.3409090909090909,0.7894736842105263
0.32558139534883723,0.7368421052631579
0.3333333333333333,0.7368421052631579
0.34146341463414637,0.7368421052631579
0.35,0.7368421052631579
0.358974358974359,0.7368421052631579
0.34210526315789475,0.6842105263157895
0.35135135135135137,0.6842105263157895
0.3611111111111111,0.6842105263157895
0.37142857142857144,0.6842105263157895
0.38235294117647056,0.6842105263157895
0.3939393939393939,0.6842105263157895
0.40625,0.6842105263157895
0.41935483870967744,0.6842105263157895
0.43333333333333335,0.6842105263157895
0.4482758620689655,0.6842105263157895
0.42857142857142855,0.631578947368421
0.4444444444444444,0.631578947368421
0.46153846153846156,0.631578947368421
0.48,0.631578947368421
0.4583333333333333,0.5789473684210527
0.4782608695652174,0.5789473684210527
0.45454545454545453,0.5263157894736842
0.47619047619047616,0.5263157894736842
0.5,0.5263157894736842
0.5263157894736842,0.5263157894736842
0.5555555555555556,0.5263157894736842
0.5882352941176471,0.5263157894736842
0.5625,0.47368421052631576
0.5333333333333333,0.42105263157894735
0.5714285714285714,0.42105263157894735
0.6153846153846154,0.42105263157894735
0.6666666666666666,0.42105263157894735
0.6363636363636364,0.3684210526315789
0.7,0.3684210526315789
0.6666666666666666,0.3157894736842105
0.625,0.2631578947368421
0.5714285714285714,0.21052631578947367
0.5,0.15789473684210525
0.6,0.15789473684210525
0.5,0.10526315789473684
0.3333333333333333,0.05263157894736842
0.5,0.05263157894736842
1.0,0.05263157894736842
1.0,0.0
